category_letter,category_name,subtopic_id,subtopic_name
A,Maternal & Reproductive Health,A01,Antenatal care & pregnancy outcomes
A,Maternal & Reproductive Health,A02,Intrapartum & skilled birth attendance
A,Maternal & Reproductive Health,A03,Postnatal & postpartum care
A,Maternal & Reproductive Health,A04,Maternal nutrition (iron, folate, iodine, micronutrients)
A,Maternal & Reproductive Health,A05,Maternal mental health (perinatal depression, anxiety)
A,Maternal & Reproductive Health,A06,Family planning & contraception
A,Maternal & Reproductive Health,A07,Infertility & assisted reproduction
A,Maternal & Reproductive Health,A08,Abortion & unsafe abortion
A,Maternal & Reproductive Health,A09,Obstetric fistula & maternal morbidity
A,Maternal & Reproductive Health,A10,Maternal mortality & near-miss analysis
B,Child & Adolescent Health,B01,Neonatal health & survival
B,Child & Adolescent Health,B02,Child growth, stunting & wasting
B,Child & Adolescent Health,B03,Child nutrition & micronutrient deficiency
B,Child & Adolescent Health,B04,Breastfeeding & complementary feeding
B,Child & Adolescent Health,B05,Immunization & vaccine coverage
B,Child & Adolescent Health,B06,Diarrheal disease in children
B,Child & Adolescent Health,B07,Acute respiratory infections in children
B,Child & Adolescent Health,B08,Child development & early childhood interventions
B,Child & Adolescent Health,B09,Adolescent sexual & reproductive health
B,Child & Adolescent Health,B10,Adolescent mental health
B,Child & Adolescent Health,B11,Child protection, abuse & violence
C,Infectious Disease (non-NTD non-HIV/TB/Malaria),C01,Respiratory infections (pneumonia, influenza, COVID-19)
C,Infectious Disease (non-NTD non-HIV/TB/Malaria),C02,Diarrheal diseases (cholera, typhoid, rotavirus)
C,Infectious Disease (non-NTD non-HIV/TB/Malaria),C03,Vaccine-preventable diseases (measles, polio, meningitis)
C,Infectious Disease (non-NTD non-HIV/TB/Malaria),C04,Arboviral diseases (dengue, Zika, chikungunya)
C,Infectious Disease (non-NTD non-HIV/TB/Malaria),C05,Hepatitis B, C & E
C,Infectious Disease (non-NTD non-HIV/TB/Malaria),C06,Foodborne & waterborne illness
C,Infectious Disease (non-NTD non-HIV/TB/Malaria),C07,Antimicrobial resistance (AMR)
C,Infectious Disease (non-NTD non-HIV/TB/Malaria),C08,Emerging infectious diseases & outbreak response
C,Infectious Disease (non-NTD non-HIV/TB/Malaria),C09,Infection prevention & control (IPC)
D,HIV / AIDS / TB / Malaria,D01,HIV prevention (PrEP, condoms, PMTCT)
D,HIV / AIDS / TB / Malaria,D02,HIV treatment & care (ART, adherence)
D,HIV / AIDS / TB / Malaria,D03,HIV & co-morbidities (TB-HIV, mental health)
D,HIV / AIDS / TB / Malaria,D04,Tuberculosis - drug-sensitive
D,HIV / AIDS / TB / Malaria,D05,Tuberculosis - drug-resistant (MDR/XDR-TB)
D,HIV / AIDS / TB / Malaria,D06,TB diagnostics & case detection
D,HIV / AIDS / TB / Malaria,D07,Malaria prevention (bed nets, IRS, SMC)
D,HIV / AIDS / TB / Malaria,D08,Malaria treatment & case management
D,HIV / AIDS / TB / Malaria,D09,Malaria elimination & eradication strategies
D,HIV / AIDS / TB / Malaria,D10,Multi-disease integration & co-infection
E,Neglected Tropical Diseases,E01,Soil-transmitted helminths
E,Neglected Tropical Diseases,E02,Schistosomiasis
E,Neglected Tropical Diseases,E03,Lymphatic filariasis
E,Neglected Tropical Diseases,E04,Onchocerciasis (river blindness)
E,Neglected Tropical Diseases,E05,Trachoma
E,Neglected Tropical Diseases,E06,Leishmaniasis
E,Neglected Tropical Diseases,E07,Human African trypanosomiasis
E,Neglected Tropical Diseases,E08,Leprosy
E,Neglected Tropical Diseases,E09,Rabies & snakebite
E,Neglected Tropical Diseases,E10,Mass drug administration programs
E,Neglected Tropical Diseases,E11,NTD elimination strategies & drug access
F,Non-Communicable Diseases (NCDs),F01,Cardiovascular disease (hypertension, stroke, IHD)
F,Non-Communicable Diseases (NCDs),F02,Diabetes & metabolic disorders
F,Non-Communicable Diseases (NCDs),F03,Cancer (screening, treatment, palliative)
F,Non-Communicable Diseases (NCDs),F04,Chronic respiratory disease (COPD, asthma)
F,Non-Communicable Diseases (NCDs),F05,Obesity & overweight
F,Non-Communicable Diseases (NCDs),F06,Chronic kidney & liver disease
F,Non-Communicable Diseases (NCDs),F07,Neurological disorders (epilepsy, dementia)
F,Non-Communicable Diseases (NCDs),F08,Musculoskeletal disorders
F,Non-Communicable Diseases (NCDs),F09,NCD risk factors (tobacco, alcohol, inactivity, diet)
F,Non-Communicable Diseases (NCDs),F10,NCD health systems, policy & prevention
G,Mental Health & Substance Use,G01,Depression & anxiety disorders
G,Mental Health & Substance Use,G02,Psychosis & severe mental illness
